objectid,title,display_template,creator,date,degree,thesis_url,description,location,object_location,subject,format,rights,website,image_small,latitude,longitude
hist_316,Organized labour and the Laurier administration; the fortunes of a pressure group.,pdf,"Atkinson, William David",1958,Master of Arts,https://curve.carleton.ca/66af9c42-18a1-4a8d-860c-4a98797ee019,not yet transcribed,Canada,https://curve.carleton.ca/system/files/etd/66af9c42-18a1-4a8d-860c-4a98797ee019/etd_pdf/37eba9f3bdce69b4a1409942c963c622/atkinson-organizedlabourandthelaurieradministration.pdf,Emigration and immigration; Labor Laws And Legislation ; Working Class,application/pdf,"Copyright the author, all rights reserved, unless otherwise indicated.",n/a,https://carleton.ca/campus/map/building_img/Paterson%20Hall.jpg,56.1304,-106.3468
hist_315,"The National policy and Manitoba railway legislation, 1879-1888.",pdf,"Regehr, T. D.",1963,Master of Arts,https://curve.carleton.ca/c0befe73-28aa-4a0b-ac2b-ed6528132d05,not yet transcribed,Manitoba,https://curve.carleton.ca/system/files/etd/c0befe73-28aa-4a0b-ac2b-ed6528132d05/etd_pdf/67ceeab3060ba3ba3f63763df8375433/regehr-thenationalpolicyandmanitobarailwaylegislation.pdf,not yet catalogued,application/pdf,"Copyright the author, all rights reserved, unless otherwise indicated.",n/a,https://carleton.ca/campus/map/building_img/Paterson%20Hall.jpg,53.7609,-98.8139
hist_314,"British policy and the Ohio Valley, 1754-1774; an exercise in mercantilism.",pdf,"Muise, D. A.",1964,Master of Arts,https://curve.carleton.ca/e485b29d-718b-4729-bc8d-d1c4d9af1730,not yet transcribed,US;Ohio,https://curve.carleton.ca/system/files/etd/e485b29d-718b-4729-bc8d-d1c4d9af1730/etd_pdf/5bc3445d1c1b19f7e22491f786d2a139/muise-britishpolicyandtheohiovalley17541774anexercise.pdf,Ohio River Valley ;History To 1795;Great Britain ;Colonies,application/pdf,"Copyright the author, all rights reserved, unless otherwise indicated.",n/a,https://carleton.ca/campus/map/building_img/Paterson%20Hall.jpg,40.4173,-82.9071
hist_312,"Imperial defence; the Canadian response during Joseph Chamberlains tenure of office as Colonial Secretary, 1895-1903.",pdf,"Durrans, Peter James",1965,Master of Arts,https://curve.carleton.ca/ae85f4d0-130d-45c7-98a0-20085ef78c60,not yet transcribed,Britain;Canada,https://curve.carleton.ca/system/files/etd/ae85f4d0-130d-45c7-98a0-20085ef78c60/etd_pdf/933ae2ca2da718d904356cf7bc9be767/durrans-imperialdefencethecanadianresponseduringjoseph.pdf,Great Britain ;Colonies;Defenses;Defenses,application/pdf,"Copyright the author, all rights reserved, unless otherwise indicated.",n/a,https://carleton.ca/campus/map/building_img/Paterson%20Hall.jpg,54.559323,-3.174022
hist_313,"An uncommon conservative: the political career of John Hillyard Cameron, 1846-1862.",pdf,"Griezic, Foster Julian Kenneth",1965,Master of Arts,https://curve.carleton.ca/90725474-ad2f-4705-9228-c03b534547b5,not yet transcribed,Ontario,https://curve.carleton.ca/system/files/etd/90725474-ad2f-4705-9228-c03b534547b5/etd_pdf/e00053675edeb56bcbd5149b91a5573a/griezic-anuncommonconservativethepoliticalcareerof.pdf,"Cameron, J Hillyard, 1817-1876",application/pdf,"Copyright the author, all rights reserved, unless otherwise indicated.",n/a,https://carleton.ca/campus/map/building_img/Paterson%20Hall.jpg,51.2538,-85.3232
hist_307,"The Canadian white pine trade with the United Kingdom, 1867-1914.",pdf,"Cowan, Alan Wood",1966,Master of Arts,https://curve.carleton.ca/6935d912-7e63-4621-8fe0-11baad369874,not yet transcribed,Canada;Britain,https://curve.carleton.ca/system/files/etd/6935d912-7e63-4621-8fe0-11baad369874/etd_pdf/4004aa4cd0e13a4602be2aac6d9fc327/cowan-thecanadianwhitepinetradewiththeunitedkingdom.pdf,Pine ;Commerce ;Commerce ;Great Britain ;Great Britain ;Commerce Commerce ;History,application/pdf,"Copyright the author, all rights reserved, unless otherwise indicated.",n/a,https://asc.library.carleton.ca/sites/default/files/Paterson5.jpg,56.1304,-106.3468
hist_308,"Meighen and the West, 1921-1926; the National Policy revisited.",pdf,"Matthews, Elisabeth Ann",1966,Master of Arts,https://curve.carleton.ca/8b2bd62f-ad43-42bb-b4d3-eb76206d2923,not yet transcribed,Canada,https://curve.carleton.ca/system/files/etd/8b2bd62f-ad43-42bb-b4d3-eb76206d2923/etd_pdf/8bc720bef544b4349a331a0e025946fc/matthews-meighenandthewest19211926thenationalpolicy.pdf,"Meighen, Arthur, 1874-1960;Politics And Government 1921-1930",application/pdf,"Copyright the author, all rights reserved, unless otherwise indicated.",n/a,https://asc.library.carleton.ca/sites/default/files/Paterson3.jpg,56.1304,-106.3468
hist_309,"The baby family in the trade of Canada, 1750-1820.",pdf,"Miquelon, Dale",1966,Master of Arts,https://curve.carleton.ca/48507053-61df-4ce7-8b33-43959a722c6b,not yet transcribed,Canada,https://curve.carleton.ca/system/files/etd/48507053-61df-4ce7-8b33-43959a722c6b/etd_pdf/30de1f0a1fba13195db3ebf9476caa15/miquelon-thebabyfamilyinthetradeofcanada17501820.pdf,Family;Commerce ;History,application/pdf,"Copyright the author, all rights reserved, unless otherwise indicated.",n/a,https://asc.library.carleton.ca/sites/default/files/Paterson2.jpg,56.1304,-106.3468
hist_310,The international Association of Machinists in Canada: to 1919.,pdf,"Thwaites, James D.",1966,Master of Arts,https://curve.carleton.ca/b77a60ac-4109-49ba-a175-8571b48abfc5,not yet transcribed,Canada,https://curve.carleton.ca/system/files/etd/b77a60ac-4109-49ba-a175-8571b48abfc5/etd_pdf/daff456f8485160227b536dfe0b198e5/thwaites-theinternationalassociationofmachinistsin.pdf,not yet catalogued,application/pdf,"Copyright the author, all rights reserved, unless otherwise indicated.",n/a,https://asc.library.carleton.ca/sites/default/files/Paterson1.jpg,56.1304,-106.3468
hist_311,"Prohibition in Ontario, 1919-1923",pdf,"Hallowell, Gerald A.",1966,Master of Arts,https://curve.carleton.ca/1b1106d7-50bf-4596-86ed-644001a44d61,not yet transcribed,Ontario,https://curve.carleton.ca/system/files/etd/1b1106d7-50bf-4596-86ed-644001a44d61/etd_pdf/ab9d37205dd057243dabc588a44518ab/hallowell-prohibitioninontario19191923.pdf,not yet catalogued,application/pdf,"Copyright the author, all rights reserved, unless otherwise indicated.",n/a,https://carleton.ca/campus/map/building_img/Paterson%20Hall.jpg,51.2538,-85.3232
